source,target,type
Narva,Tallinn,Undirected
Narva,Udria,Undirected
Narva,Riga,Undirected
Narva,Cesis,Undirected
Narva,Daugavpils,Undirected
Narva,Helsinki,Undirected
Narva,Karelian Isthmus,Undirected
Tallinn,Udria,Undirected
Tallinn,Riga,Undirected
Tallinn,Cesis,Undirected
Tallinn,Daugavpils,Undirected
Tallinn,Helsinki,Undirected
Tallinn,Karelian Isthmus,Undirected
Udria,Riga,Undirected
Udria,Cesis,Undirected
Udria,Daugavpils,Undirected
Udria,Helsinki,Undirected
Udria,Karelian Isthmus,Undirected
Vilnius,Riga,Undirected
Vilnius,Cesis,Undirected
Vilnius,Daugavpils,Undirected
Vilnius,Vilnius,Undirected
Riga,Cesis,Undirected
Riga,Daugavpils,Undirected
Riga,Vilnius,Undirected
Riga,Helsinki,Undirected
Cesis,Daugavpils,Undirected
Cesis,Vilnius,Undirected
Cesis,Helsinki,Undirected
Cesis,Karelian Isthmus,Undirected
Daugavpils,Vilnius,Undirected
Daugavpils,Helsinki,Undirected
Tisza River,Budapest,Undirected
Tisza River,Sarajevo,Undirected
Tisza River,Bratunac,Undirected
Tisza River,Srebrenica,Undirected
Tisza River,Drenica,Undirected
Tisza River,Belgrade,Undirected
Ankara,Cilicia (ancient),Undirected
Cilicia (ancient),eastern and southern Sea of Galilee shores,Undirected
Cilicia (ancient),Golan Heights,Undirected
Cilicia (ancient),Golan Heights,Undirected
Cilicia (ancient),Kyrenia (Girne),Undirected
Cilicia (ancient),Famagusta,Undirected
Cilicia (ancient),Lefka,Undirected
Cilicia (ancient),Beirut,Undirected
Shanghai,Shanghai,Undirected
Shantou,Quemoy Island,Undirected
Shantou,Jinmen,Undirected
Shantou,Mazu,Undirected
Asir,Najrn,Undirected
Asir,Jzn,Undirected
Najrn,Jzn,Undirected
Border of Ethiopia and Italian Somaliland,Ogaden,Undirected
Border of Ethiopia and Italian Somaliland,Gode,Undirected
Nomonhan,river Khalkhin Gol,Undirected
Nomonhan,Tamsagbulag,Undirected
river Khalkhin Gol,Tamsagbulag,Undirected
Lake Khasan,Wonsan,Undirected
Lake Khasan,Riwon,Undirected
Helsinki,Karelian Isthmus,Undirected
Vientiane,Sisophon,Undirected
Vientiane,Dien Bien Phu,Undirected
Vientiane,Hanoi,Undirected
Vientiane,Xieng Khoang,Undirected
Vientiane,Bolaven Plateau,Undirected
Sisophon,ng Tháp Province,Undirected
Sisophon,Tay Ninh Province,Undirected
Sisophon,Bolaven Plateau,Undirected
Sisophon,northeastern Cambodia,Undirected
Sisophon,easten Cambodia,Undirected
Sisophon,Phnom Penh,Undirected
Kashmir,Kongka Pass,Undirected
Kashmir,Ladakh,Undirected
Kashmir,Kashmir,Undirected
Kashmir,Sialkot,Undirected
Kashmir,Kargil,Undirected
southern and eastern Palestine,Jerusalem,Undirected
southern and eastern Palestine,Gaza,Undirected
southern and eastern Palestine,Rafah,Undirected
southern and eastern Palestine,Arish,Undirected
southern and eastern Palestine,Tel Aviv,Undirected
southern and eastern Palestine,the south and central parts of the coastal plain,Undirected
southern and eastern Palestine,eastern and southern Sea of Galilee shores,Undirected
southern and eastern Palestine,Golan Heights,Undirected
southern and eastern Palestine,Jerusalem,Undirected
southern and eastern Palestine,the south and central parts of the coastal plain,Undirected
southern and eastern Palestine,East Jerusalem,Undirected
southern and eastern Palestine,West Jerusalem,Undirected
southern and eastern Palestine,Golan Heights,Undirected
southern and eastern Palestine,Suez Canal,Undirected
southern and eastern Palestine,Port Said,Undirected
southern and eastern Palestine,Suez,Undirected
southern and eastern Palestine,Kyrenia (Girne),Undirected
southern and eastern Palestine,Famagusta,Undirected
southern and eastern Palestine,Lefka,Undirected
southern and eastern Palestine,Beirut,Undirected
Jerusalem,Gaza,Undirected
Jerusalem,Rafah,Undirected
Jerusalem,Arish,Undirected
Jerusalem,Tel Aviv,Undirected
Jerusalem,the south and central parts of the coastal plain,Undirected
Jerusalem,eastern and southern Sea of Galilee shores,Undirected
Jerusalem,Golan Heights,Undirected
Jerusalem,Jerusalem,Undirected
Jerusalem,the south and central parts of the coastal plain,Undirected
Jerusalem,East Jerusalem,Undirected
Jerusalem,West Jerusalem,Undirected
Jerusalem,Golan Heights,Undirected
Jerusalem,Suez Canal,Undirected
Jerusalem,Port Said,Undirected
Jerusalem,Suez,Undirected
Jerusalem,Kyrenia (Girne),Undirected
Jerusalem,Famagusta,Undirected
Jerusalem,Lefka,Undirected
Jerusalem,Beirut,Undirected
Gaza,Rafah,Undirected
Gaza,Arish,Undirected
Gaza,Tel Aviv,Undirected
Gaza,the south and central parts of the coastal plain,Undirected
Gaza,eastern and southern Sea of Galilee shores,Undirected
Gaza,Golan Heights,Undirected
Gaza,Jerusalem,Undirected
Gaza,the south and central parts of the coastal plain,Undirected
Gaza,East Jerusalem,Undirected
Gaza,West Jerusalem,Undirected
Gaza,Golan Heights,Undirected
Gaza,Suez Canal,Undirected
Gaza,Port Said,Undirected
Gaza,Suez,Undirected
Gaza,Kyrenia (Girne),Undirected
Gaza,Famagusta,Undirected
Gaza,Lefka,Undirected
Gaza,Beirut,Undirected
Rafah,Arish,Undirected
Rafah,Tel Aviv,Undirected
Rafah,the south and central parts of the coastal plain,Undirected
Rafah,eastern and southern Sea of Galilee shores,Undirected
Rafah,Golan Heights,Undirected
Rafah,Jerusalem,Undirected
Rafah,the south and central parts of the coastal plain,Undirected
Rafah,East Jerusalem,Undirected
Rafah,West Jerusalem,Undirected
Rafah,Golan Heights,Undirected
Rafah,Suez Canal,Undirected
Rafah,Port Said,Undirected
Rafah,Suez,Undirected
Rafah,Kyrenia (Girne),Undirected
Rafah,Famagusta,Undirected
Rafah,Lefka,Undirected
